Exercise Name,Primary Muscle Group,Movement Type,Equipment Used,Archetype Tags,Other Tags,TimeEstimate,Muscle Subgroup,Training Purpose,Tempo Tags,Fatigue Level,Body Region
World’s Greatest Stretch with Rotation,Hips,Mobility,Bodyweight,"Foundation, Monk, Prime",Full Body,4–6 min,General,Mobility,Varied,Moderate,Lower Body
Thoracic Spine Opener,T-Spine,Mobility,Foam Roller,"Monk, Sentinel",Back Mobility,4–6 min,General,Mobility,Varied,Moderate,Full Body
Ankle Rocker Drill,Ankles,Mobility,Bodyweight,"Foundation, Igniter, Monk",Ankle Mobility,4–6 min,General,Mobility,Varied,Moderate,Full Body
Tempo Goblet Squat (3-1-1),Quads,Compound,Dumbbell,"Sentinel, Titan",Slow Eccentric,6–10 min,Quads,Strength,Slow Eccentric,Moderate,Lower Body
Paused Push-Up,Chest,Compound,Bodyweight,"Foundation, Igniter",Controlled,6–10 min,Pecs,Strength,Varied,Moderate,Upper Body
Tempo Pull-Up (3-1-3),Back,Compound,Pull-Up Bar,"Apex, Titan",Eccentric,6–10 min,Upper Back,Strength,Slow Eccentric,Moderate,Upper Body
Towel Pull-Ups,Grip,Compound,Towel + Pull-Up Bar,"Apex, Vanguard",Forearms,6–10 min,Upper Back,Strength,Varied,Moderate,Full Body
Farmer Carry with Fat Grips,Grip,Stability,Dumbbells,"Engine, Titan",Grip Strength,4–6 min,General,General,Varied,Moderate,Full Body
Wrist Curl,Forearms,Isolation,Barbell,"Architect, Foundation",Wrists,3–5 min,General,Aesthetics,Varied,Low CNS Load,Full Body
Preacher Curl,Biceps,Isolation,Barbell,"Architect, Titan",Arms,3–5 min,Biceps,Aesthetics,Varied,Low CNS Load,Upper Body
Overhead Dumbbell Triceps Extension,Triceps,Isolation,Dumbbell,"Apex, Architect, Foundation",Arms,3–5 min,Triceps,Aesthetics,Varied,Low CNS Load,Upper Body
Rear Delt Row,Rear Delts,Isolation,Dumbbells,"Architect, Prime, Sentinel",Shoulders,3–5 min,Mid Back,Aesthetics,Controlled,Low CNS Load,Full Body
Barbell Power Clean,Full Body,Explosive,Barbell,"Apex, Prime",Olympic Lift,4–6 min,General,General,Varied,Moderate,Full Body
Push Jerk,Shoulders,Explosive,Barbell,"Apex, Striker",Power Movement,4–6 min,Anterior Delts,General,Varied,Moderate,Upper Body
Child’s Pose Stretch,Spine,Mobility,Bodyweight,"Foundation, Monk",Recovery,4–6 min,General,Mobility,Varied,Moderate,Full Body
90/90 Hip Switch,Hips,Mobility,Bodyweight,"Monk, Nomad, Sentinel",Hip Mobility,4–6 min,General,Mobility,Varied,Moderate,Lower Body
Banded Pull Aparts,Upper Back,Isolation,Resistance Band,"Architect, Foundation, Vanguard",Posture,3–5 min,General,Aesthetics,Varied,Low CNS Load,Upper Body
Glute Kickbacks,Glutes,Isolation,Cable Machine,"Architect, Foundation, Nomad",Glutes,3–5 min,Glutes,Aesthetics,Varied,Low CNS Load,Lower Body
Hamstring Walkouts,Hamstrings,Stability,Bodyweight,"Engine, Monk, Prime",Hinge Control,4–6 min,Hamstrings,General,Varied,Moderate,Lower Body
